n,Year_Month,citizen_ge,visitor_type_en,pa_ge,pa_en,visits
269,2018-04,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,794
270,2018-05,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1736
271,2018-06,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2424
272,2018-07,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4563
273,2018-08,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5969
274,2018-09,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3508
275,2018-10,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1691
276,2018-11,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,579
277,2018-12,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,187
278,2019-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,818
279,2019-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,741
280,2019-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1022
281,2019-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1664
282,2019-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3534
283,2019-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,6126
284,2019-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,8179
285,2019-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,8769
286,2019-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4487
287,2019-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2997
288,2019-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2135
289,2019-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,578
290,2019-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,232
291,2019-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,209
292,2019-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,452
